Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
إيراد عمولة من السائق,إيرادات تشغيلية,510001,5100,0,Income Account,Income,LYD
إيراد إعادة شحن,إيرادات تشغيلية,510002,5100,0,Income Account,Income,LYD
إيرادات التطبيق,الإيرادات,5110,5,1,Income Account,Income,LYD
إيراد عمولة الرحلات,إيرادات التطبيق,511001,5110,0,Income Account,Income,LYD
إيراد شحن المحفظة,إيرادات التطبيق,511002,5110,0,Income Account,Income,LYD
إيراد خصم قسائم,إيرادات التطبيق,511003,5110,0,Income Account,Income,LYD
إيرادات غير تشغيلية,الإيرادات,5120,5,1,Income Account,Income,LYD
إيرادات تأخير / غرامات,إيرادات غير تشغيلية,512001,5120,0,Income Account,Income,LYD
فائض خزينة / تسويات موجبة,إيرادات غير تشغيلية,512002,5120,0,Income Account,Income,LYD
إيرادات أخرى,الإيرادات,5200,5,1,Income Account,Income,LYD
خصومات مكتسبة,إيرادات أخرى,520001,5200,0,Income Account,Income,LYD
حسابات نظامية,الإيرادات,5300,5,1,Temporary,Income,LYD
Accrued Income,حسابات نظامية,530001,5300,0,Temporary,Income,LYD
Profit or Loss on Exchange,حسابات نظامية,530002,5300,0,Temporary,Income,LYD
أرباح فروق العملة,حسابات نظامية,530003,5300,0,Temporary,Income,LYD
عمليات متوقفة إيرادات,الإيرادات,5990,5,1,Income Account,Income,LYD
أرباح من عمليات متوقفة,عمليات متوقفة إيرادات,599001,5990,0,Income Account,Income,LYD
المصروفات التشغيلية,,6,,1,,Expense,LYD
رواتب وتعويضات,المصروفات التشغيلية,6100,6,1,Direct Expense,Expense,LYD
رواتب موظفين,رواتب وتعويضات,610001,6100,0,Indirect Expense,Expense,LYD
مكافآت,رواتب وتعويضات,610002,6100,0,Indirect Expense,Expense,LYD
رواتب إداريين,رواتب وتعويضات,610003,6100,0,Indirect Expense,Expense,LYD
رواتب السائقين المرتبطين بالإدارة,رواتب وتعويضات,610004,6100,0,Indirect Expense,Expense,LYD
الرواتب الأساسية,رواتب وتعويضات,610005,6100,0,Indirect Expense,Expense,LYD
البدلات والمزايا,رواتب وتعويضات,610006,6100,0,Indirect Expense,Expense,LYD
الضرائب والتأمينات الاجتماعية,رواتب وتعويضات,610007,6100,0,Indirect Expense,Expense,LYD
مكافآت نهاية الخدمة,رواتب وتعويضات,610008,6100,0,Liability,Expense,LYD
تشغيلية,المصروفات التشغيلية,6200,6,1,Expense Account,Expense,LYD
هاتف وإنترنت,تشغيلية,620001,6200,0,Expense Account,Expense,LYD
صيانة خوادم,تشغيلية,620002,6200,0,Expense Account,Expense,LYD
قرطاسية,تشغيلية,620003,6200,0,Expense Account,Expense,LYD
رخص التطبيقات والسيرفرات,تشغيلية,620004,6200,0,Expense Account,Expense,LYD
تكلفة التكامل مع التطبيق,تشغيلية,620005,6200,0,Expense Account,Expense,LYD
رخصة استخدام تطبيق ERPNext,تشغيلية,620006,6200,0,Expense Account,Expense,LYD
اشتراك خوادم سحابية – AWS,تشغيلية,620007,6200,0,Expense Account,Expense,LYD
مصروفات تسويقية,المصروفات التشغيلية,6300,6,1,Expense Account,Expense,LYD
هدايا السائقين,مصروفات تسويقية,630001,6300,0,Expense Account,Expense,LYD
هدايا المستخدمين,مصروفات تسويقية,630002,6300,0,Expense Account,Expense,LYD
خصومات ترويجية,مصروفات تسويقية,630003,6300,0,Expense Account,Expense,LYD
مكافآت تحفيزية للسائقين,مصروفات تسويقية,630004,6300,0,Expense Account,Expense,LYD
هدايا تسجيل للمستخدمين الجدد,مصروفات تسويقية,630005,6300,0,Expense Account,Expense,LYD
حملات رقمية عبر السوشيال ميديا,مصروفات تسويقية,630006,6300,0,Expense Account,Expense,LYD
مصروفات متعلقة بالرحلات,المصروفات التشغيلية,6400,6,1,Expense Account,Expense,LYD
دعم وقود مرتبط بالكيلومترات,مصروفات متعلقة بالرحلات,640001,6400,0,Expense Account,Expense,LYD
تعويضات عن تأخير الرحلات,مصروفات متعلقة بالرحلات,640002,6400,0,Expense Account,Expense,LYD
حسابات النظام,المصروفات التشغيلية,6900,6,1,Expense Account,Expense,LYD
Stock Adjustment Account,حسابات النظام,690001,6900,0,Stock Adjustment,Expense,LYD
Expenses Included in Valuation,حسابات النظام,690002,6900,0,Expense Account,Expense,LYD
خسائر فروق العملة,حسابات النظام,690003,6900,0,Expense Account,Expense,LYD
تسويات تقريبية,حسابات النظام,690004,6900,0,Expense Account,Expense,LYD
ديون معدومة / شطب,حسابات النظام,690005,6900,0,Expense Account,Expense,LYD
فرق تقييم المخزون,حسابات النظام,690006,6900,0,Stock Adjustment,Expense,LYD
فرق تقييم الأصول,حسابات النظام,690007,6900,0,Depreciation,Expense,LYD
استهلاك حق الاستخدام,المصروفات التشغيلية,6950,6,1,Depreciation,Expense,LYD
استهلاك أصل حق الاستخدام – مكتب,استهلاك حق الاستخدام,695001,6950,0,Depreciation,Expense,LYD
استهلاك أصل حق الاستخدام – خوادم,استهلاك حق الاستخدام,695002,6950,0,Depreciation,Expense,LYD
استهلاك أصل حق الاستخدام – ترخيص برامج,استهلاك حق الاستخدام,695003,6950,0,Depreciation,Expense,LYD
فوائد على التزامات الإيجار,المصروفات التشغيلية,6951,6,1,Expense Account,Expense,LYD
فوائد على التزام الإيجار – مكتب,فوائد على التزامات الإيجار,695101,6951,0,Expense Account,Expense,LYD
فوائد على التزام الإيجار – خوادم,فوائد على التزامات الإيجار,695102,6951,0,Expense Account,Expense,LYD
عمليات متوقفة مصروفات تشغيلية,المصروفات التشغيلية,6990,6,1,Expense Account,Expense,LYD
خسائر من عمليات متوقفة,عمليات متوقفة مصروفات تشغيلية,699001,6990,0,Expense Account,Expense,LYD
تكلفة المبيعات,,8,,1,Cost of Goods Sold,Expense,LYD
تكلفة تشغيل,تكلفة المبيعات,8100,8,1,Cost of Goods Sold,Expense,LYD
تكلفة بطاقات مسبقة الدفع,تكلفة تشغيل,810001,8100,0,Cost of Goods Sold,Expense,LYD
تكلفة ديزل موزع,تكلفة تشغيل,810002,8100,0,Cost of Goods Sold,Expense,LYD
